lat,lng,name,address,date,vtemp,vcook,vhygiene,vcontam,vsource
37.8682603,-122.2958435,LA QUINTA,920 UNIVERSITY AVE,3/29/2012,0,0,0,0,0
37.8708962,-122.2677355,LITTLE HUNAN,124-125 BERKELEY SQ,3/26/2012,0,0,0,0,0
37.87088,-122.2772579,WEST COAST PIZZA,1706 UNIVERSITY AVE,6/20/2012,0,0,0,0,0
37.8712628,-122.2731,VALERO,1894 UNIVERSITY AVE,2/3/2012,0,0,0,0,0
37.8711007,-122.272811,SUSHI CALIFORNIA,2033 M L KING JR WY,7/11/2012,0,0,0,0,0
37.8704871,-122.2666376,CAFE RIO,2146 CENTER ST,2/28/2012,1,0,0,1,0
37.8670217,-122.2587134,JIMMY SHAMIEH,2399 TELEGRAPH AVE,PENDING,-1,-1,-1,-1,-1
37.8687612,-122.286807,CAFE ZESTE,1250 ADDISON ST 109,6/29/2011,0,0,0,1,0
37.8674843,-122.2855952,CHAPARRAL FOUNDATION NURSING,1309 ALLSTON WY,6/18/2012,0,0,0,0,0
37.8709539,-122.2763712,LUTHERAN CHURCH OF THE CROSS,1744 UNIVERSITY AVE,4/18/2012,0,0,0,1,0
37.8621357,-122.2901914,LA VILLA 1 (COMMISSARY),2434 SAN PABLO AVE,PENDING,-1,-1,-1,-1,-1
37.8696328,-122.2874803,UNIVERSITY SHELL,1250 UNIVERSITY AVE,7/26/2012,0,0,0,0,0
37.8800765,-122.2694658,BERKELEY PRODUCE CENTER,1500 SHATTUCK AVE,11/7/2011,0,0,0,0,0
37.8688425,-122.293124,BOMBAY SPICE HOUSE,1036 UNIVERSITY AVE,3/28/2012,0,0,0,0,0
37.8790098,-122.2960485,REI,1338 SAN PABLO AVE,1/11/2012,0,0,0,0,0
37.8749226,-122.2940866,GENKI JAPANESE RESTAURANT,1610 SAN PABLO AVE,3/27/2012,0,0,0,1,0
37.8750232,-122.2939498,CAFÉ' FANNY,1603 SAN PABLO AVE,PENDING,-1,-1,-1,-1,-1
37.8697531,-122.2922584,99C ONLY STORES,1941 SAN PABLO AVE,7/13/2011,0,0,0,0,0
37.8699137,-122.2876205,MARINA LIQUORS,1265 UNIVERSITY AVE,7/26/2012,0,0,0,0,0
37.869768,-122.2875324,YOUR PLACE THAI CUISINE,1267 UNIVERSITY AVE,6/27/2011,1,0,0,0,0
37.8703775,-122.2834016,BANGKOK THAI CUISINE,1459 UNIVERSITY AVE,7/23/2012,0,0,0,1,0
37.8623661,-122.2808677,MEHAK INDIAN CUISINE,2449 SACRAMENTO ST,6/4/2012,0,0,0,1,0
37.8622728,-122.2814582,THE HOMEMADE CAFE,2454 SACRAMENTO ST,7/18/2011,0,0,1,1,0
37.8683711,-122.2918623,LOCAL 123 CAFE,2049 SAN PABLO AVE,11/21/2011,0,0,0,0,0
37.8685563,-122.2918733,LUCA CUCINA ITALIANA,2057 SAN PABLO AVE,1/5/2012,0,0,0,0,0
37.8679234,-122.2916613,ACME BAR,2115 SAN PABLO AVE,12/14/2011,0,0,0,1,0
37.8691116,-122.2916024,KABANA RESTAURANT,1106 UNIVERSITY AVE,6/18/2012,0,0,0,1,0
